scenario,model,period,metric,n_seeds,mean,standard_error,ci95_low,ci95_high
no_shift,boosting,pre_shift,average_precision,5,0.5251854626207914,0.09447970787677241,0.26286774014580916,0.7875031850957736
no_shift,boosting,pre_shift,precision_at_daily_budget,5,0.2924746066698055,0.05929417353327955,0.12784758879658295,0.45710162454302805
no_shift,boosting,pre_shift,recall_at_daily_budget,5,0.6687460815047022,0.07690185500819736,0.45523230258656217,0.8822598604228422
no_shift,boosting_no_network,all_test,average_precision,5,0.48890083907927656,0.046461145092027666,0.35990402020663187,0.6178976579519213
no_shift,boosting_no_network,all_test,precision_at_daily_budget,5,0.2578571428571429,0.04269911340665384,0.13930539844295337,0.3764088872713324
no_shift,boosting_no_network,all_test,recall_at_daily_budget,5,0.6418212338622761,0.03192102949268834,0.5531942477744272,0.730448219950125
no_shift,boosting_no_network,post_shift,average_precision,5,0.4546300351261111,0.06123010636334464,0.28462800602286265,0.6246320642293596
no_shift,boosting_no_network,post_shift,precision_at_daily_budget,5,0.2463928372405701,0.05134035622720374,0.10384915649443921,0.388936517986701
no_shift,boosting_no_network,post_shift,recall_at_daily_budget,5,0.6186425883313992,0.031154649964989168,0.5321434129319544,0.7051417637308439
no_shift,boosting_no_network,pre_shift,average_precision,5,0.5836795079636593,0.07184033219229662,0.3842187692925739,0.7831402466347447
no_shift,boosting_no_network,pre_shift,precision_at_daily_budget,5,0.3019750995597051,0.06619649816903823,0.11818415623704417,0.485766042882366
no_shift,boosting_no_network,pre_shift,recall_at_daily_budget,5,0.6781504702194358,0.0857760049176016,0.4399981012225389,0.9163028392163326
no_shift,boosting_static,all_test,average_precision,5,0.4222569309191645,0.03689369903052006,0.31982360083323647,0.5246902610050925
no_shift,boosting_static,all_test,precision_at_daily_budget,5,0.23928571428571427,0.040939228231163145,0.12562019445272604,0.3529512341187025
no_shift,boosting_static,all_test,recall_at_daily_budget,5,0.5933013741588575,0.025753725965068676,0.5217975677625373,0.6648051805551778
no_shift,boosting_static,post_shift,average_precision,5,0.40665480959176276,0.04112690681462242,0.29246821047437854,0.520841408709147
no_shift,boosting_static,post_shift,precision_at_daily_budget,5,0.2278889332326616,0.05054013041774571,0.08756703551825343,0.36821083094706974
no_shift,boosting_static,post_shift,recall_at_daily_budget,5,0.564429638169894,0.033143607791235666,0.4724082305493223,0.6564510457904658
no_shift,boosting_static,pre_shift,average_precision,5,0.49765207564232233,0.05805080102170367,0.3364772132928021,0.6588269379918426
no_shift,boosting_static,pre_shift,precision_at_daily_budget,5,0.28419801732495226,0.0519558222025015,0.13994552908429012,0.42845050556561437
no_shift,boosting_static,pre_shift,recall_at_daily_budget,5,0.6687460815047022,0.051994534040141135,0.5243861119719122,0.8131060510374921
no_shift,isolation_forest,all_test,average_precision,5,0.26182735881274233,0.028930100922849523,0.1815045217126186,0.34215019591286605
no_shift,isolation_forest,all_test,precision_at_daily_budget,5,0.18,0.025842932164465062,0.10824851748801236,0.25175148251198765
no_shift,isolation_forest,all_test,recall_at_daily_budget,5,0.4572295653696208,0.0377049629532438,0.3525438055364229,0.5619153252028186
no_shift,isolation_forest,post_shift,average_precision,5,0.26626736943870744,0.03329803337591335,0.1738172076594401,0.3587175312179748
no_shift,isolation_forest,post_shift,precision_at_daily_budget,5,0.17308372310925585,0.03728682211474256,0.06955890836039803,0.2766085378581137
no_shift,isolation_forest,post_shift,recall_at_daily_budget,5,0.43701689386349063,0.022317387783490315,0.3750538917912179,0.49897989593576336
no_shift,isolation_forest,pre_shift,average_precision,5,0.2840049622291746,0.11750627094477742,-0.04224474856549837,0.6102546730238476
no_shift,isolation_forest,pre_shift,precision_at_daily_budget,5,0.20790590385484947,0.06305825699416753,0.0328281148810885,0.38298369282861044
no_shift,isolation_forest,pre_shift,recall_at_daily_budget,5,0.4827272727272727,0.12846768660678082,0.12604379307179198,0.8394107523827534
no_shift,logistic,all_test,average_precision,5,0.5079551586612548,0.046106147848878974,0.37994397014670905,0.6359663471758006
no_shift,logistic,all_test,precision_at_daily_budget,5,0.26357142857142857,0.04170168596405782,0.1477889866980247,0.37935387044483243
no_shift,logistic,all_test,recall_at_daily_budget,5,0.6598397732563918,0.0256356976589519,0.5886636659728642,0.7310158805399193
no_shift,logistic,post_shift,average_precision,5,0.47715911345799417,0.04549893235939457,0.3508338254170276,0.6034844014989607
